date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-04-18,USW00024243,7.16,0.0,0.0,0.0,63.0,72.0,45.0,320.0,330.0,21.9,28.0,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
2020-04-18,USW00024157,5.37,0.0,0.0,0.0,55.0,64.0,47.0,210.0,20.0,15.0,17.0,12372,141881,518.0,598,154253,13,0,2056,169.0,2225.0,7.6,SAFE
2020-04-19,USW00024227,2.68,0.0,0.0,0.0,51.0,62.0,40.0,250.0,220.0,8.9,12.1,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-19,USW00094240,4.03,0.04,0.0,0.0,50.0,60.0,39.0,250.0,250.0,16.1,21.0,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-19,USW00094119,2.91,0.0,0.0,0.0,45.0,61.0,29.0,180.0,180.0,14.1,16.1,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-19,USW00024141,5.82,0.0,0.0,0.0,55.0,71.0,42.0,180.0,210.0,15.0,23.9,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-19,USW00024233,6.04,0.0,0.0,0.0,53.0,65.0,48.0,20.0,20.0,12.1,14.1,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-19,USW00024243,5.82,0.0,0.0,0.0,57.0,73.0,35.0,320.0,150.0,14.1,21.0,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-19,USW00024157,6.93,0.0,0.0,0.0,50.0,63.0,38.0,230.0,230.0,19.9,23.0,12461,143313,586.0,615,155774,17,0,1432,89.0,1521.0,5.85,SAFE
2020-04-20,USW00024227,3.8,0.0,0.0,0.0,50.0,67.0,34.0,290.0,270.0,12.1,15.0,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
2020-04-20,USW00094240,3.8,0.0,0.0,0.0,47.0,57.0,36.0,250.0,260.0,14.1,17.0,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
2020-04-20,USW00094119,2.91,0.0,0.0,0.0,49.0,67.0,30.0,250.0,260.0,13.0,16.1,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
