,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
1,2020-03-01,2.91,37.0,21.62,RISKY
31,2020-04-01,12.53,45.0,58.0,RISKY
103,2020-03-27,6.71,45.0,70.0,RISKY
198,2020-04-14,10.51,49.0,35.0,RISKY
193,2020-04-09,15.21,47.0,51.0,RISKY
502,2020-04-14,12.97,41.0,35.0,RISKY
48,2020-04-18,10.51,44.0,32.0,RISKY
33,2020-04-03,18.57,50.0,57.0,RISKY
240,2020-03-13,15.43,47.0,44.0,RISKY
110,2020-04-03,8.05,42.0,57.0,RISKY
665,2020-04-23,6.49,44.0,26.0,RISKY
411,2020-03-31,4.92,40.0,60.0,RISKY
57,2020-04-27,14.32,45.0,21.0,RISKY
415,2020-04-04,3.8,50.0,56.0,RISKY
434,2020-04-23,5.82,37.0,26.0,RISKY
245,2020-03-18,5.14,38.0,51.0,RISKY
625,2020-03-14,16.11,51.0,43.0,RISKY
113,2020-04-06,6.26,42.0,53.0,RISKY
670,2020-04-28,10.29,49.0,19.0,RISKY
655,2020-04-13,23.26,54.0,38.0,RISKY
339,2020-04-05,5.82,50.0,55.0,RISKY
361,2020-04-27,6.71,43.0,21.0,RISKY
289,2020-05-01,8.5,52.0,18.0,RISKY
417,2020-04-06,5.82,47.0,53.0,RISKY
171,2020-03-18,6.04,43.0,51.0,RISKY
410,2020-03-30,3.58,41.0,63.0,RISKY
136,2020-04-29,14.54,57.0,19.0,RISKY
585,2020-04-20,8.72,50.0,30.0,RISKY
669,2020-04-27,16.78,44.0,21.0,RISKY
272,2020-04-14,9.62,40.0,35.0,RISKY
28,2020-03-29,18.34,45.0,67.0,RISKY
519,2020-05-01,10.07,49.0,18.0,RISKY
338,2020-04-04,4.92,47.0,56.0,RISKY
97,2020-03-21,7.83,30.0,63.0,RISKY
127,2020-04-20,5.82,39.0,30.0,RISKY
128,2020-04-21,19.69,40.0,28.0,RISKY
622,2020-03-11,8.5,51.0,28.0,RISKY
544,2020-03-10,11.41,50.0,23.0,RISKY
203,2020-04-19,10.51,47.0,31.0,RISKY
498,2020-04-10,17.9,37.0,48.0,RISKY
343,2020-04-09,14.99,46.0,51.0,RISKY
645,2020-04-03,21.03,49.0,57.0,RISKY
312,2020-03-09,9.4,56.0,20.0,RISKY
315,2020-03-12,6.71,40.0,38.0,RISKY
423,2020-04-12,5.14,41.0,42.0,RISKY
287,2020-04-29,17.22,49.0,19.0,RISKY
427,2020-04-16,9.4,36.0,33.0,RISKY
637,2020-03-26,12.75,44.0,71.0,RISKY
43,2020-04-13,19.01,57.0,38.0,RISKY
506,2020-04-18,10.07,38.0,32.0,RISKY
42,2020-04-12,10.51,53.0,42.0,RISKY
356,2020-04-22,17.22,34.0,27.0,RISKY
352,2020-04-18,8.95,38.0,32.0,RISKY
667,2020-04-25,6.71,50.0,23.0,RISKY
260,2020-04-02,14.32,36.0,59.0,RISKY
333,2020-03-30,6.49,49.0,63.0,RISKY
396,2020-03-16,5.82,28.0,47.0,RISKY
501,2020-04-13,17.67,58.0,38.0,RISKY
590,2020-04-25,6.04,49.0,23.0,RISKY
399,2020-03-19,4.47,40.0,55.0,RISKY
551,2020-03-17,7.16,44.0,48.0,RISKY
654,2020-04-12,12.75,49.0,42.0,RISKY
488,2020-03-31,8.5,41.0,60.0,RISKY
337,2020-04-03,10.74,43.0,57.0,RISKY
425,2020-04-14,7.38,46.0,35.0,RISKY
212,2020-04-28,6.49,48.0,19.0,RISKY
115,2020-04-08,9.62,47.0,55.0,RISKY
164,2020-03-11,10.07,44.0,28.0,RISKY
112,2020-04-05,7.83,47.0,55.0,RISKY
36,2020-04-06,8.95,55.0,53.0,RISKY
213,2020-04-29,8.5,53.0,19.0,RISKY
105,2020-03-29,15.66,55.0,67.0,RISKY
406,2020-03-26,4.7,36.0,71.0,RISKY
365,2020-05-01,6.71,53.0,18.0,RISKY
634,2020-03-23,18.79,39.0,63.0,RISKY
441,2020-04-30,8.05,50.0,19.0,RISKY
476,2020-03-19,5.82,44.0,55.0,RISKY
565,2020-03-31,7.83,43.0,60.0,RISKY
351,2020-04-17,9.62,36.0,34.0,RISKY
362,2020-04-28,3.8,44.0,19.0,RISKY
518,2020-04-30,9.4,57.0,19.0,RISKY
93,2020-03-17,13.42,41.0,48.0,RISKY
